"Id","Name","CommandLine","Path","Parent","StartTime"
"2192","python","c:\Python311\python.exe c:\Users\michael.cruz\.vscode\extensions\ms-toolsai.jupyter-2022.9.1303220346\pythonFiles\vscode_datascience_helpers\kernel_interrupt_daemon.py --ppid 7668","c:\Python311\python.exe","System.Diagnostics.Process (Code)","6/14/2023 8:51:24 AM"
"1256","rdpclip","rdpclip","C:\Windows\System32\rdpclip.exe","System.Diagnostics.Process (svchost)","5/23/2023 9:57:44 AM"
"172","Registry",,,,"5/23/2023 9:55:18 AM"
"3056","ruby","""C:\Program Files\Puppet Labs\Puppet\puppet\bin\ruby.exe"" ""C:\Program Files\Puppet Labs\Puppet\service\daemon.rb""","C:\Program Files\Puppet Labs\Puppet\puppet\bin\ruby.exe","System.Diagnostics.Process (services)","5/23/2023 9:55:29 AM"
"2464","RuntimeBroker","C:\Windows\System32\RuntimeBroker.exe -Embedding","C:\Windows\System32\RuntimeBroker.exe","System.Diagnostics.Process (svchost)","5/23/2023 9:57:51 AM"
"1624","SearchApp","""C:\Windows\SystemApps\Microsoft.Windows.Search_cw5n1h2txyewy\SearchApp.exe"" -ServerName:CortanaUI.AppX8z9r6jm96hw4bsbneegw0kyxx296wr9t.mca","C:\Windows\SystemApps\Microsoft.Windows.Search_cw5n1h2txyewy\SearchApp.exe","System.Diagnostics.Process (svchost)","5/23/2023 9:57:52 AM"
"7600","SearchIndexer","C:\Windows\system32\SearchIndexer.exe /Embedding","C:\Windows\system32\SearchIndexer.exe","System.Diagnostics.Process (services)","5/23/2023 9:57:54 AM"
"4592","SecurityHealthService",,,,"5/28/2023 11:55:33 AM"
"6408","SenseCE","""C:\Program Files\Windows Defender Advanced Threat Protection\Classification\SenseCE.exe"" ""2216"" ""c96b0782-7e2c-4fc9-a420-8606089623d3"" ""DefaultClassificationEngine"" ""14400"" ""60""","C:\Program Files\Windows Defender Advanced Threat Protection\Classification\SenseCE.exe","System.Diagnostics.Process (MsSense)","5/23/2023 9:55:43 AM"
"8312","SenseIR",,,,"6/14/2023 1:48:10 PM"
"6484","SenseNdr","""C:\Program Files\Windows Defender Advanced Threat Protection\SenseNdr.exe""  ""7V0JUxtHFu6fskUtW0lsMAjE4drdFMIQOzG2ExynNix2YRCYGDArII5D+O/7ff30PKM5u1ua0WGVSpqrp4+vX7+zu3VrZsymOTOnpm0uzLV5hWMH9x7iu2gWzLxZM8tmFefzpoHrJVyt4XwR9xpmBanu2xw+mHNzaT4gD8nnyuaxZ25x3DBH5gBPr23eT3Al+d/a3BbNI3xayGvNzKEu62YL53MoZxvHbZytmSY+DZw1kG4Nd1v2bBX1WcXVlrlDjlKPA1vKCWrSMZ9sOQ375BHKPkYtbtDWa/Mdzlibjzh+Msm6HuHdNu7KfcVh2SJAHBa7pe2gZZvdtjTNITBbRG0e4mwVvwvI+yGum/glajOo5X63LkTrAJhfmJco/xKlERGp6RNcE7GoFqwLn0doRs/iPRWvIZERTFjLXfNDt4Tlz7V4hlKvzTPU47xb/oxF6BStF1zO0ZJ5fFlbyeuFeWfxOsXdAyCp9ZRaLKDNTftlXxLtRaQ7/Pzue5S3Y2lEaYAUxn77CTU4AR5XSMF+662btr64fvufW7ZpyzhGfieZ9NwEja2jZdoHQtkN9NK8rT2v+XwBxzncJYVuW3pfw/kC+pRUtwa628SRPUwabOBLBJZxJD1v4MP7vF5GypYttWVz2kAK0nYTz/i7guebeHcbuS7hS7oizbcs3RChRxadK+B0CIxI3ZvA9xIfUtEJ8rnA9Vv0Sbs7vojkDa6y376KvSE5sA+XbcuXUVO2kSg07fvMvYOSDtH/pBZyijjKN3jKEXVqkWdOHPfxOr1Aig94X8YV+5/vd/Bpo86978ZrLpTw0aZ93y2TPIYoSGlKHSzxqS2DlPnEvMB1xMWyx0aU/oUt4dq+swwcpN3PMRIuuginWyCIEd/8dLuo5wFaeY0R2AZl8x2hecmPfckRdmafLH4eDee4Rw6VbAdptAEqJBdawFfGJcePvhFvSRO92AQ9SWukLsyVtWhivNy3/RShkCzty0Zt2fbGFDV3WlvByBHqnqLmg9piTSOU/Jz6WzHPUuncQGrKpuLUWRxuBZxpHXyKnHTdlkiJSS2Ipcu4Cud/i8iD6FIyF/O/FdSBmmMdNNlEbagbuEoOpl63UnaQ+K4jV6lBP/hSz3dDuIEWUA6t1sArFeEyilT6nSJM+81HhhNhcvBGyZhXhGUk16f9sC06+lnX4tEf6XHVSiNFbd0RtVHkq73INkuQJe+tQ6cUZBfR08U8Uulx/JGlvKQ2ICOwWroVKU1e74buElLSKixO7acP0F8g+oivvKJUn0d9yBFoEy1D9pbzA2lr1bguWT3AHVd6E8q0Ml9cVSb74kqpOW/lv9qZayW40itCzwHpog5kV50pljSygu8gKZYjVLSdcGTZN8R4oQRZSrD6KHYVpRUjFfHZKa7kO5GXNfKhxP0vtHmoH7vaBLSQFgfOYVlP9ms4vSoncPE4scWMF9TDDcgLysa3Um0ZdWdx2H6RU22V47hcOtWhUwlNqp8mX3dX1EZRpxLr1NULUJe2KshSq3LjonXTY6TjN8BjXGRPXfRIn5CrVV83anFaG61RLJHZ0aS10UatTNdW3jelNUaKyNfoV3Tla+s2/WDtREb9hRv5ajGRndiwtiIjm+WSuB6tm3FGxnvdxrD4M9V/ni+5s/SYbI88/Su0VaWvfJGlD4haMO0GHukLplXj4perC19SjasdzjjpYKmW9pvwEF9sxQonrvyWY1qfjkNJzSiSG82OM6acJyIeSLbVx7NBD0r0FW6TbSFy1LjSJ/2g5dE799Ev8TgdH1kU2iicIxC1kK0taiW9fK5WGu05evOK6cu3lfSqMscqW0n/6BpoprjmqluwNwdt61Oe5PPyQfUmS/kS+pMjQ0dHvrSN+nMJ2JfJcl+65eydqunWt52UaWWj2a+d1O7yPS2DoltSLSWXqzeOmuLg4x1ryLP6HmU8QWfvTTLtil7LCIQr1x2tURrpeZGPVe2TPI2BHla31oZI0dBxGNaSMn6p3LXOljy080aJcF4PjK/OVta2cZbsZW0bb/2srHXjrZWVtY560DhLtLL2jb8cE++P2oTqA8rmoJyXvgL9xNXnz1nsg7QJOVuBfrR8m1CexOfVx+fGZ7c1nro3CkxrSeSq6MWuc/CzyynG1FU3mGJKWnWjU1ctZYqpC6biEyzT6FTzo+eGOnuxxutnbwr3YY5Z/qCisa/8TY7i88ob91kjvtiWVR+6llJGneSgXDFWjI0iKbkP0oNInYN6f77PqQjLvNbm4Ul/LNsrlFMlJ42X42I9k0+PP64hMRkfCUUfD1fIutMr4x7qGcrvB/exr/EuqYHv2PelV2ITujYiBFdXjkp+OsW1XFIpvbr6C6e4usktxdVV+5/i6oerqwUwxdUPV1crYIqrH66uEVPa7JTBxdqunzbAuS/58ZhBaq/1agPUPIpxUqtgiqrM1Si2tURm6bz2fF10iqq/5loeY52iGoLq1M4q3+UkBNepnVUNrlN7oBpcXe2BL1UTEC9udlRF4nLjuka62D8dtrpUdXs5FmPHueXu2HGtHNMX663u+r3Mb1VN2Nfbl9XOPM+0v6c/K/c8ChQUXb1QozTjOquVw8TQVcJQKyjXSn0psWjmX5GlOWoo+siTKlDMnxE7PihyF4FiPqc2D+N7g/N5CE/UXQXGmycymuOGoaxZGSyKnJEyipRYLpHd57RT8ozOziTSsjz5EboLSTle47rfSDFeYdqfC1qu9vFo7c5SBVp5EeMiTW+tlNurZKh/fUKRfM1ra9545TyAaPaK6FJVzIvrLafcczsZqDasZPRBNUvLzKfT8d3VJqudeTTqb9eV8cfxxa2YP1KnCNv3pxyxUdzhpxgNylax131GYDkS5evuVDaM1q49xWgxXl4FWvTdudoHxemyLH3hDb4WVDES1dANZ0y6ej7KdLfxR8LVezH5SLjOZ5lsJMZ3Z5tyXuI/o7dYBlGqje9+NVXg5b/qlf+RwB1UyuIcKsnL0g2OI8tOSZwRxXUx9FDO49vo7uyRpyPn+RG4u8Vg/2FEkWs4SvW6kWP8iphxRyTufxa6H3EZcmVjdFz3PCoen1VoieO7l1ExVuE7F4XzM1e9qu5RSbtU+Bn3CaeXuBi7cH7mN5eIEsDds0zberCxcVpH6mv0tWL8fX3SWtEkfWzivJLyPFPxcsp9fZOBqr+WF4aq6wgfLVSr9feFIMlZLsX+BtX9VqFPUOspTp2lAcq8pfQ/MFG705086xn1Ouuh6lGv5biM+klAVWioelRdvQSTQasyK6N6VF1nf0wGqkJDPqhmce1smb/mbEmH8FHRVn05ZVbt8+xnKaEXm+JdArJyz8Ym8ieXc8UvDx1aSZwtWSxdVRZ/qfi46ipfHj78X3Tu6zN6UaYsDjE4/lO2lxX/XcJtTHFmI2eBFKcW3tj7H8p5+q3sgibl+3LtqF31YTWK0msYOETevXJJxZ3DyijMj2YoJ8Pmcg4Dq9GU6sNAYtR3dCyaLzcMvEZV4xkeFmWyp37tbxhYjK4mMxw06B8q97spbYzSiqth4uVqSXEXhcHLb+G146DzMbJO+nLlPfKvHyH2Vb6WzMjn+CAmc7jHdSXpMMakIuY6Jr90HqZ4uY7J0VohOkwKc40KcrXc6KwGHR5i47nyc3h4jesqz2EhNr4rTKpAbMb6FrOjI9RC3fdIGq3/XitqF+fAlM2yUttl1P5trahdo+7tKY7aFbVMvNaT2Ge+/y02Wv/OVNRnvi2j17ash/281tFuOVlWbzg1kn+M8/+kFffaeP+PTFHbxNof3/9CK2ob40OulkaIp0RG5mDHEevsOnuqzjr7zVnkPif8h4dGSZRWNQruLD9oTkdvlSDk30O+reWcaM66Ko5JR60lryzXt3w4O9tKfwRrUH17+S+R6110y2Ov1BcHvx8R/zG+jtZy9msTH9dRWbdXrFhm+1Ey20oNwXV2ClctcT+OYrr3oWNqPJqjPx0XS4Op5Ta13K7NgXGdFUQLSyTYYClxki23qaYcSflh2KX7dv3sjNky1+aj2TVtc4XPqflgLqAZPDS3+G2ZG3OMTxsjYRfP/sTZD7jL56ozbZszpLoy78xLpDi3aflcxsMORtEf9v4NnsXzu7K5UOqIVOitwXfI89Qc2TQzqMsqUjVQJuVrC2dz1orkP+LNQQ5s4MN7TNPC7xzSb5tHeMpVbRs438J3G1d3yJEyqLe0Z6gla856y7MLtKhtnqEGnS5CMwV4VV3brD76BXW+NofA/Qh9dmKeoN+4w1XH/I4nZ7aFh7ZF5OVigbA3+MYp0rbxhuK7ijPa5JSnsmsW/Q/LSEttlVrNEe7LGsG3eNLE2+v48F+lm0jFNcVyfGve4plg/Bx1Yb20lEO8sYLnXJnInmIvtXE8tH14jOM6zg5QLm0C9iZ7j1+ufKbGsYS8lrq5v8C7HdDmB/ye460LvN9Gq9mTl2g/2yiosK8PLV0foVfZx6K1/Agaa9uv0rY8E41bEOOTE+RErG9QEkcJU+11x8eBpZMsrj9jfgYFvujWtmU+2d65wij5YPvmoouL5LSJuzco59rmTjoXTYmjj5Qo99N3XyLfSzyXmt+ZffveNmrdwXvXtqQ28o3Kj2rfW2Zkg4WVqf9JqviIfSr1YQ9QmpL2NvFlS9/bOpPL9NZDNcreWpC+0k/irV/ojs90j/W2fcb8F58dcIUn+AfuXXyfo094r2V+wvkvuLdlZkF1C/ZXV/Sm8+3lGjt4bw55dNCTH22fddA23aOghfazH7Mp5SUwCKOUuHXYi5h6A6O7SbTCaYXruNP5k7LSd+Olcs8GKTVJLbJykHzBn2LILdLlyojIehKvkTvVcNb2Cb5/mDfdXjwCHR9ijH1lvkXLlRr+Mq+QiqNPZOnXoAKROElOom+wpjOgxhfmMejvGajvDWjpPzjbrIGCspFL342jFvVjCKdJ590P5cgcd/7yO1jqKea3YbTzGn0rUpq/D83fIEteg/t08L1A/e850stjUN41eH88t8fI+QByhTnXwXuovWXJqXQPjyr16Gx3XSHAI71zUTQwmtUcRl+UWyEouVPXM8ivp5Bou/i86EouN57zDBR0Bn3pMaiG+sgVZPMBJDP1iTugIDZANZJLfUGRfBKOncZqcLTTb5lJqSXU489z+H++WeMmW67G298fVVCracR0G9FwFhw5jtLZnNXhaGOcgVKoZddBL2leXC41iJb0Toicom6V1Uvpu8ke8qcI9nxYWXwrrZsmdd649vIaEucK7+zHju/AA/ahv+5ZbrXvSBHkOI9r4BXU8PzR6U9LCev9qEw/mydLT3Wj75D+/wo8gJE08oMl9DmPau3wXHjEEihiHh/e4e5Gel78xl/dlN9234vnzhzj14s2jZbGcpaRwlVjfgy59xISbxf68qa1+MmNaClXLbuaqKk/PY4XNwptYQg97sGS+tnShvKlNqwg0koHNvl+sI68bemjbuqYfG4VKotDaEP4zrzlG/REz1qP9D5G/Q68LW56rqStmw6ytc30uIprD5H8qE9jicr0kVnV0oDy9geOPazp6TmJrOupJIi8w5H08enlfN9aMR272ylJzXQDWuiv4Pm30EzuQ0e5A/d/AJ3iGxy1lx+AGzBCsI505Ax67sYNNJe6+YFgmcbNTc8Lt2MGUa4/zYS2019G7Jm/gw7owb8FLfBIjZAUxDqITX1nfut59g00xXjab+D96L0+7fp1e+92EqnOE9en5q/EnWS+yXKvUm+cleRwkHh+CY1ZfNBs+x1GCo8PU/nK06/t0wfOfsZN+LO3MNZIRYz3Md7KCB3jttXzV+m9UFoKHzODKNdnzEQx2udWv7mCFJOYX7rtcX0hjM+Sm+4hTvUco2QPEdmWPf5mvrdH1b0PYVXx+TW0aB71+gzeRl4fIIbGo+rscpS8NS9N8zuoKP7OBaIb8etzaHO8PkUchEd9fmK+s9diB+wBFbELjhHNZzq9Tj7X97XOko51k5GyB34grc2rob6pKB0hmhsvUVHT9xUFKYlcwLWEYjwjLLQkxUpK+trKRlrd1fbpZOJW3ktKSUn0q6dU7dMyOhpeDavkIZNJb6Pfp5OJe5WUKn06xW2StIS/YG1OrrYwylKvypHq5h/4Hpot51DSMyFzXxlXOMTVc9ynd+kprMUDzL2o3v7hevu6Iw39lulj94SX5e8neA2N/yfYGU+sBbzb9TDR0ruDB8GPNt50c6qeAiY91lS3h1Hl9AE8GX/CgqW3Uf2H98y/YLeln9xD1IGzoDk7a8/8A0f1Ld3B9+I+Y0vilaSdtvkfYl6cTXwN6/sD+MknRDI5R1ZmostMbs6lncYydX5zmAdbPDlhPDSEx0T+EPWbiAdB6U48FfQPSMzz676jmz/b+e4fQDlHzvQSPje9HzzD/XF5XLCRko5J75iU6SOT8spKS+JkWWH0Mgv+Qw6kkU2dIZF9h3Mx9u28CZ29xfdlJkX8TtZ5Vs6vu3m5zzx9BN8dPey9XKx6TqUrhfw9pOF0R493Fu/Q3QKi2YtJWvCnO/qAs8pK302WFUJ3O/CsPkVPPsLnzWevqErCW9vuJUgfRg3mIeUYj7sD10qneJO620RKN31KVj6Qlk4hC99DN/sRcvAGPmmu4DnENWc4H4K3cVXaHfApn5MaztumFKarjSaHwoQaBkth4et1QuM80RyN+uaFRPpW9rxnxlY5W96f03E1V5qrucXBQ3hdWu7dIoZ5ZyUuZxRxteMs7hzZ3wb4WVIm32ImgrzBnQxmwZEoX7nuUVK6cTudh7QLfvcKfO1VLSt8WMtQtMMlZ/+lJqmOMjeU2uqTq6QdagW0EePrjYtXf3E1L9ddPIece+ol7cJ5EcfgMOii31J9dfnQNvpzmj2spZE4djJqrPNbNdYrsVvRrVwj63vQiSTyrrlrTDIZmxYb05UnXcLrIKull8GT3oEKubLDVdsKpz+up8ruG3oF00+SOkk/vCkrfzf5I6UmeRN3swiRg+H18KdOSqpmpmwTybYAqeZGMz+ARjp2pT9XO1/BfngJa0Jswi1o8NXTzrjyriTdcA+3EJnWT/vDKIerNKi9pnWje+B6V7Aiuf59w/IOroBvQ5viXgcboKprK9dauMf1hWeQjrThn+M+uU0HVh7XrHLtxim+nxyp8CnK3IC1SN2+BU2KduyO9aWeInfmcudkL4ZzsNBe6E+bD/XARaX6SFDR1dPc2I1butEa6WfOUtER+p+r4bPf610xzxWv7PFd9PzLGno7BIMI8xC7rb8Sk7yGEYz7dpW8WG680vXO3H+a862FH93HFfee4nPelyf6TFdEh8i70BETNs9xFvwq25rj/FXxbTGyswHext1maAOufT7ftpbeAqiL+YilJ7+tDC5Ijxlx4nihZUnJrjalnIuVKecNa2tqmuPP6bnbjr7LHXeic7U0Z1FP2qzyLv+tTs9XwVv1nDvz6TlXG+t5PP0KuGR0P8ozXrembYWUxV2qNH38fjz9cqxc7jKp6XvPm5/vr8bS8Nxt5D8DAifg9FvYjYMy57Lri66e43M3ov5GZQgfCOX4+R6cJmiL4zlkxwypTQgK7qP4nxh1W/CP/NuRIsjraMNQ0ziGLsBIahtSQSKsYt1UTx39ISP8dDj04acRcAxU2/+MLeluO7SSP9rIO8+iDzUQXt3aX670vwd9gPojI8aybqM4NZ8yZ4nN8mre5sV7jHgw9sOohxtXemq11zYot4V6tKDTyF56VWuh/XOH4dBcUj9RXSR0V43+Rl+2xpncR2EWlEVJyb17Z8Fl3uL32Mpp7rzDc1lVf4jzZStfuUse01Meyzn/D5FSnN7mts2BO+sxt3VHSov8yNFaxzewwHXPRN31gvyPe3Rwb8NrcMRPsLTII+UtWmK85tg/tLQa7Y8X+WZewkajlc/dhnRXPe7YdoHW0ad5g6fcHa9358hNjMEb8N/0uxy1jOFxHziWy5ifS51kvekW0hJ1toqzHR6i5A5KamOkzsA7JpZnp1syuf873DvrpqV+NpOoFfcMJCKXSMv8uAOG8DflctwpQfidosIdyMn/dO6SjkBqRdQAVapyZgZ5UV59qCmyRsWt2kEO52gF+2+QiDYcyi5DlHt7c+/8RVC47sveW0cXfF3xIrLU0Km9SJ/cdRH8FRi1QUvllJnG+hgUdYbebyOvO/N/""","C:\Program Files\Windows Defender Advanced Threat Protection\SenseNdr.exe","System.Diagnostics.Process (MsSense)","5/29/2023 5:04:05 AM"
"832","services",,,,"5/23/2023 9:55:27 AM"
"3204","SgrmBroker",,,,"5/23/2023 9:55:29 AM"
"14040","ShellExperienceHost","""C:\Windows\SystemApps\ShellExperienceHost_cw5n1h2txyewy\ShellExperienceHost.exe"" -ServerName:App.AppXtk181tbxbce2qsex02s8tw7hfxa9xb3t.mca","C:\Windows\SystemApps\ShellExperienceHost_cw5n1h2txyewy\ShellExperienceHost.exe","System.Diagnostics.Process (svchost)","5/25/2023 12:14:03 PM"
"588","sihost","sihost.exe","C:\Windows\system32\sihost.exe","System.Diagnostics.Process (svchost)","5/23/2023 9:57:44 AM"
"12172","smartscreen","C:\Windows\System32\smartscreen.exe -Embedding","C:\Windows\System32\smartscreen.exe","System.Diagnostics.Process (svchost)","6/14/2023 1:55:53 PM"
"432","smss",,,,"5/23/2023 9:55:22 AM"
"2872","spoolsv","C:\Windows\System32\spoolsv.exe","C:\Windows\System32\spoolsv.exe","System.Diagnostics.Process (services)","5/23/2023 9:55:29 AM"
"3280","ssh-agent","C:\Windows\System32\OpenSSH\ssh-agent.exe","C:\Windows\System32\OpenSSH\ssh-agent.exe","System.Diagnostics.Process (services)","5/23/2023 9:55:29 AM"
"3236","sshd","C:\Windows\System32\OpenSSH\sshd.exe","C:\Windows\System32\OpenSSH\sshd.exe","System.Diagnostics.Process (services)","5/23/2023 9:55:29 AM"
"3704","StartMenuExperienceHost","""C:\Windows\SystemApps\Microsoft.Windows.StartMenuExperienceHost_cw5n1h2txyewy\StartMenuExperienceHost.exe"" -ServerName:App.AppXywbrabmsek0gm3tkwpr5kwzbs55tkqay.mca","C:\Windows\SystemApps\Microsoft.Windows.StartMenuExperienceHost_cw5n1h2txyewy\StartMenuExperienceHost.exe","System.Diagnostics.Process (svchost)","5/23/2023 9:57:51 AM"
"692","svchost","C:\Windows\system32\svchost.exe -k RPCSS -p","C:\Windows\system32\svchost.exe","System.Diagnostics.Process (services)","5/23/2023 9:55:28 AM"
"4","System",,,,"5/23/2023 9:55:22 AM"
"1792","taskhostw","taskhostw.exe {222A245B-E637-4AE9-A93F-A59CA119A75E}","C:\Windows\system32\taskhostw.exe","System.Diagnostics.Process (svchost)","5/23/2023 9:57:44 AM"
"11748","Taskmgr","""C:\Windows\system32\taskmgr.exe"" /4","C:\Windows\system32\taskmgr.exe","System.Diagnostics.Process (explorer)","5/24/2023 2:30:25 PM"
"13944","terraform-ls","c:\Users\michael.cruz\.vscode\extensions\hashicorp.terraform-2.26.0-win32-x64\bin\terraform-ls.exe serve","c:\Users\michael.cruz\.vscode\extensions\hashicorp.terraform-2.26.0-win32-x64\bin\terraform-ls.exe","System.Diagnostics.Process (Code)","6/13/2023 9:09:59 AM"
"1872","TextInputHost","""C:\Windows\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\TextInputHost.exe"" -ServerName:InputApp.AppXjd5de1g66v206tj52m9d0dtpppx4cgpn.mca","C:\Windows\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\TextInputHost.exe","System.Diagnostics.Process (svchost)","5/23/2023 9:57:51 AM"
"3592","VGAuthService","""C:\Program Files\VMware\VMware Tools\VMware VGAuth\VGAuthService.exe""","C:\Program Files\VMware\VMware Tools\VMware VGAuth\VGAuthService.exe","System.Diagnostics.Process (services)","5/23/2023 9:55:29 AM"
"3604","vm3dservice","C:\Windows\system32\vm3dservice.exe","C:\Windows\system32\vm3dservice.exe","System.Diagnostics.Process (services)","5/23/2023 9:55:29 AM"
"3524","vmtoolsd","""C:\Program Files\VMware\VMware Tools\vmtoolsd.exe""","C:\Program Files\VMware\VMware Tools\vmtoolsd.exe","System.Diagnostics.Process (services)","5/23/2023 9:55:29 AM"
